date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:04:57	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Dec%202021%2015:04:59%20GMT	https://schoolable.wixsite.com/schoolgames/fc40122e.min.css	C:/My%20Web%20Sites/schoolgames/schoolable.wixsite.com/schoolgames/fc40122e.min.css	(from https://schoolable.wixsite.com/schoolgames/)
07:04:58	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Dec%202021%2015:04:59%20GMT	https://schoolable.wixsite.com/schoolgames/45242c23.min.css	C:/My%20Web%20Sites/schoolgames/schoolable.wixsite.com/schoolgames/45242c23.min.css	(from https://schoolable.wixsite.com/schoolgames/)
07:04:58	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Dec%202021%2015:04:59%20GMT	https://schoolable.wixsite.com/schoolgames/0efca64c.min.css	C:/My%20Web%20Sites/schoolgames/schoolable.wixsite.com/schoolgames/0efca64c.min.css	(from https://schoolable.wixsite.com/schoolgames/)
07:04:58	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Dec%202021%2015:05:00%20GMT	https://schoolable.wixsite.com/schoolgames/42ccdc69.min.css	C:/My%20Web%20Sites/schoolgames/schoolable.wixsite.com/schoolgames/42ccdc69.min.css	(from https://schoolable.wixsite.com/schoolgames/)
07:04:58	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Dec%202021%2015:05:00%20GMT	https://schoolable.wixsite.com/schoolgames/4ea3b970.min.css	C:/My%20Web%20Sites/schoolgames/schoolable.wixsite.com/schoolgames/4ea3b970.min.css	(from https://schoolable.wixsite.com/schoolgames/)
07:04:59	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Dec%202021%2015:05:00%20GMT	https://schoolable.wixsite.com/schoolgames/0ee85551.min.css	C:/My%20Web%20Sites/schoolgames/schoolable.wixsite.com/schoolgames/0ee85551.min.css	(from https://schoolable.wixsite.com/schoolgames/)
07:04:59	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Dec%202021%2015:05:00%20GMT	https://schoolable.wixsite.com/schoolgames/085f85ee.min.css	C:/My%20Web%20Sites/schoolgames/schoolable.wixsite.com/schoolgames/085f85ee.min.css	(from https://schoolable.wixsite.com/schoolgames/)
07:04:59	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Dec%202021%2015:05:01%20GMT	https://schoolable.wixsite.com/schoolgames/fc21aae5.min.css	C:/My%20Web%20Sites/schoolgames/schoolable.wixsite.com/schoolgames/fc21aae5.min.css	(from https://schoolable.wixsite.com/schoolgames/)
07:04:59	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Dec%202021%2015:05:01%20GMT	https://schoolable.wixsite.com/schoolgames/641eb53d.min.css	C:/My%20Web%20Sites/schoolgames/schoolable.wixsite.com/schoolgames/641eb53d.min.css	(from https://schoolable.wixsite.com/schoolgames/)
07:05:00	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Dec%202021%2015:05:01%20GMT	https://schoolable.wixsite.com/schoolgames/cabcae51.min.css	C:/My%20Web%20Sites/schoolgames/schoolable.wixsite.com/schoolgames/cabcae51.min.css	(from https://schoolable.wixsite.com/schoolgames/)
